"sep=	"
Shimmer_5DF7_Timestamp_Unix_CAL	Shimmer_5DF7_GSR_Range_CAL	Shimmer_5DF7_GSR_Skin_Conductance_CAL	Shimmer_5DF7_GSR_Skin_Resistance_CAL	Shimmer_5DF7_PPG_A13_CAL	Shimmer_5DF7_Pressure_BMP280_CAL	Shimmer_5DF7_Temperature_BMP280_CAL	
ms	no_units	uS	kOhms	mV	kPa	Degrees Celsius	
1.5796023619300537E12	0.0	78.01651085233175	12.81779957953749	1092.3076923076922	101.50552094116557	25.88470908967429	
1.579602361949585E12	0.0	78.01651085233175	12.81779957953749	1101.098901098901	101.50282409243	25.88470908967429	
1.5796023619691162E12	0.0	11.317041167787433	88.36231884057973	1101.098901098901	101.5001272461962	25.88470908967429	
1.5796023619886475E12	0.0	11.317041167787433	88.36231884057973	1119.4139194139193	101.50552094116557	25.88470908967429	
1.5796023620081787E12	0.0	11.317041167787433	88.36231884057973	1378.021978021978	101.5001272461962	25.88470908967429	
1.57960236202771E12	0.0	11.317041167787433	88.36231884057973	1529.6703296703295	101.49743040246419	25.88470908967429	
1.5796023620472412E12	0.0	11.317041167787433	88.36231884057973	1648.3516483516482	101.50282409243	25.88470908967429	
1.5796023620667725E12	1.0	11.351482431621804	88.09422082302676	1717.216117216117	101.49743040246419	25.88470908967429	
1.5796023620863037E12	1.0	11.346377200035738	88.13385826771653	1753.113553113553	101.5001272461962	25.88470908967429	
1.579602362105835E12	1.0	11.34127196844967	88.17353139770425	1770.6959706959706	101.49743040246419	25.88470908967429	
1.5796023621253662E12	1.0	11.336166736863602	88.21324026120243	1780.2197802197802	101.49473356123396	25.88470908967429	
1.5796023621448975E12	1.0	11.346377200035738	88.13385826771653	1790.4761904761904	101.5001272461962	25.88470908967429	
1.5796023621644287E12	1.0	11.331061505277534	88.25298490651048	1793.4065934065932	101.5001272461962	25.88470908967429	
1.57960236218396E12	1.0	11.336166736863602	88.21324026120243	1790.4761904761904	101.49743040246419	25.88470908967429	
1.5796023622034912E12	1.0	11.3208510421054	88.3325817361894	1791.2087912087911	101.49473356123396	25.88470908967429	
1.5796023622230225E12	1.0	11.31574581051933	88.37243401759531	1773.6263736263736	101.5001272461962	25.88470908967429	
